Belongs_Team_ID;Researcher_ID;Team_ID
1;9;1
2;15;1
3;22;1
4;23;1
5;37;1
6;38;1
7;42;1
8;45;1
9;48;1
10;51;1
11;53;1
12;59;1
13;61;1
14;64;1
15;78;1
16;83;1
17;100;1
18;111;1
19;116;1
20;126;1
21;129;1
22;138;1
23;152;1
24;154;1
25;158;1
26;161;1
27;165;1
28;166;1
29;173;1
30;179;1
31;182;1
32;192;1
33;198;1
34;200;1
35;205;1
36;206;1
37;209;1
38;1;2
39;2;2
40;5;2
41;8;2
42;12;2
43;16;2
44;32;2
45;33;2
46;57;2
47;60;2
48;80;2
49;81;2
50;85;2
51;86;2
52;87;2
53;90;2
54;98;2
55;103;2
56;105;2
57;108;2
58;120;2
59;123;2
60;132;2
61;135;2
62;136;2
63;150;2
64;159;2
65;160;2
66;174;2
67;176;2
68;184;2
69;188;2
70;189;2
71;193;2
72;208;2
73;210;2
74;213;2
75;217;2
76;10;3
77;13;3
78;21;3
79;28;3
80;41;3
81;52;3
82;67;3
83;76;3
84;99;3
85;115;3
86;119;3
87;122;3
88;134;3
89;155;3
90;164;3
91;170;3
92;214;3
93;215;3
94;6;4
95;19;4
96;24;4
97;26;4
98;30;4
99;34;4
100;35;4
101;40;4
102;43;4
103;44;4
104;46;4
105;47;4
106;54;4
107;56;4
108;58;4
109;66;4
110;69;4
111;82;4
112;92;4
113;96;4
114;97;4
115;102;4
116;112;4
117;114;4
118;131;4
119;139;4
120;141;4
121;144;4
122;148;4
123;156;4
124;162;4
125;167;4
126;169;4
127;171;4
128;172;4
129;190;4
130;191;4
131;197;4
132;199;4
133;204;4
134;207;4
135;211;4
136;212;4
137;220;4
138;11;5
139;137;5
140;175;5
141;4;6
142;39;6
143;63;6
144;68;6
145;74;6
146;95;6
147;101;6
148;147;6
149;157;6
150;168;6
151;196;6
152;202;6
153;216;6
154;3;7
155;20;7
156;31;7
157;36;7
158;50;7
159;88;7
160;127;7
161;142;7
162;194;7
163;218;7
